_time,EC,Humidity_percent,PH,Temperature_C,WaterTemp_C
2023-10-26 10:04:47.488000+00:00,0.5,66.9,7.33,22,21
2023-10-26 10:09:55.432000+00:00,0.47,65.7,7.32,22.2,21.06
2023-10-26 10:15:03.064000+00:00,0.5,66.5,7.31,22,21
2023-10-26 10:20:15.289000+00:00,0.47,67,7.31,21.9,21
2023-10-26 10:25:23.858000+00:00,0.47,65.7,7.32,22.3,21
2023-10-26 10:30:31.319000+00:00,0.47,65.3,7.32,22.4,21
2023-10-26 10:35:38.683000+00:00,0.47,64.2,7.31,22.6,21.06
2023-10-26 10:40:52.044000+00:00,0.47,64.3,7.3,22.6,21
2023-10-26 10:46:00.276000+00:00,0.44,64.7,7.4,22.5,20.94
2023-10-26 10:51:08.314000+00:00,0.41,65.3,7.4,22.4,21
2023-10-26 10:56:16.112000+00:00,0.41,65.7,7.4,22.3,20.94
2023-10-26 11:01:27.485000+00:00,0.41,67.7,7.41,22,21
2023-10-26 11:06:34.757000+00:00,0.44,66.8,7.4,22.1,20.94
2023-10-26 11:11:42.301000+00:00,0.41,66.5,7.39,22.2,20.94
2023-10-26 11:16:50.531000+00:00,0.41,67,7.4,22.2,20.94
2023-10-26 11:22:04.542000+00:00,0.44,66.9,7.41,22.2,20.94
2023-10-26 11:27:11.670000+00:00,0.41,67.9,7.4,22,20.94
2023-10-26 11:32:19.138000+00:00,0.41,68.3,7.39,21.9,20.94
2023-10-26 11:37:26.453000+00:00,0.41,68.5,7.39,21.8,20.87
2023-10-26 11:42:38.998000+00:00,0.41,66.6,7.39,22.2,20.87
2023-10-26 11:47:46.672000+00:00,0.41,67.3,7.39,22.2,20.87
2023-10-26 11:52:54.101000+00:00,0.41,67.1,7.39,22.2,20.87
2023-10-26 11:58:01.104000+00:00,0.44,69.2,7.39,21.8,20.87
2023-10-26 12:03:08.398000+00:00,0.44,70,7.39,21.7,20.87
2023-10-26 12:08:16.692000+00:00,0.41,68.5,7.37,22,20.81
2023-10-26 12:13:24.325000+00:00,0.41,66.6,7.37,22.3,20.81
2023-10-26 12:18:31.667000+00:00,0.41,68.8,7.38,22,20.81
2023-10-26 12:23:43.158000+00:00,0.41,69.2,7.38,21.9,20.81
2023-10-26 12:28:50.538000+00:00,0.41,68.6,7.39,21.9,20.87
2023-10-26 12:33:57.600000+00:00,0.41,66.9,7.39,22.3,20.81
2023-10-26 12:39:05.050000+00:00,0.41,66.9,7.38,22.4,20.81
2023-10-26 12:44:17.428000+00:00,0.41,66.8,7.38,22.4,20.81
2023-10-26 12:49:25.071000+00:00,0.44,67.6,7.39,22.3,20.87
2023-10-26 12:54:33.062000+00:00,0.41,66.8,7.38,22.5,20.81
2023-10-26 12:59:41.099000+00:00,0.41,66.8,7.38,22.6,20.81
2023-10-26 13:04:50.879000+00:00,0.41,66.6,7.37,22.6,20.81
2023-10-26 13:09:59.063000+00:00,0.41,66.9,7.38,22.6,20.75
2023-10-26 13:15:06.279000+00:00,0.44,65.8,7.36,22.9,20.81
2023-10-26 13:20:14.423000+00:00,0.41,65,7.36,23.1,20.81
2023-10-26 13:25:25.642000+00:00,0.41,63.8,7.36,23.2,20.81
2023-10-26 13:30:33.421000+00:00,0.41,63.9,7.36,23.3,20.81
2023-10-26 13:35:40.579000+00:00,0.44,63.3,7.37,23.3,20.87
2023-10-26 13:40:48.677000+00:00,0.41,63.4,7.34,23.4,20.81
2023-10-26 13:46:01.952000+00:00,0.44,63.1,7.34,23.5,20.81
2023-10-26 13:51:09.519000+00:00,0.41,63.1,7.34,23.6,20.75
2023-10-26 13:56:17.622000+00:00,0.44,63,7.34,23.6,20.75
2023-10-26 14:01:25.576000+00:00,0.41,64.2,7.33,23.4,20.75
2023-10-26 14:06:37.851000+00:00,0.44,65.1,7.31,23.1,20.81
2023-10-26 14:11:45.653000+00:00,0.44,65.3,7.33,23.1,20.75
2023-10-26 14:16:52.751000+00:00,0.44,65.9,7.33,22.9,20.75
2023-10-26 14:22:01.699000+00:00,0.44,64.2,7.33,23.4,20.75
2023-10-26 14:27:09.105000+00:00,0.44,63.7,7.33,23.5,20.75
2023-10-26 14:32:16.898000+00:00,0.44,63.6,7.32,23.4,20.81
2023-10-26 14:37:25.009000+00:00,0.44,62.7,7.32,23.6,20.75
2023-10-26 14:42:38.904000+00:00,0.41,62.2,7.33,23.7,20.69
2023-10-26 14:47:46.970000+00:00,0.44,62.1,7.33,23.8,20.75
2023-10-26 14:52:54.645000+00:00,0.44,62.3,7.31,23.8,20.75
2023-10-26 14:58:01.653000+00:00,0.44,61.6,7.33,23.8,20.81
2023-10-26 15:03:14.608000+00:00,0.41,62,7.33,23.8,20.75
2023-10-26 15:08:22.020000+00:00,0.44,61.7,7.31,23.9,20.75
2023-10-26 15:13:29.965000+00:00,0.41,61.9,7.32,23.9,20.75
2023-10-26 15:18:39.763000+00:00,0.44,62.1,7.31,23.8,20.75
2023-10-26 15:23:47.400000+00:00,0.47,63,7.31,23.6,20.75
2023-10-26 15:28:54.746000+00:00,0.44,62,7.31,23.8,20.75
2023-10-26 15:34:02.164000+00:00,0.41,62,7.3,23.9,20.75
2023-10-26 15:39:14.064000+00:00,0.44,61.8,7.29,23.9,20.69
2023-10-26 15:44:21.651000+00:00,0.44,61.2,7.29,23.9,20.69
2023-10-26 15:49:29.499000+00:00,0.44,60.2,7.29,23.9,20.69
2023-10-26 15:54:37.008000+00:00,0.41,61.3,7.3,24,20.75
2023-10-26 15:59:47.871000+00:00,0.44,60.6,7.28,24,20.69
2023-10-26 16:04:58.992000+00:00,0.44,60.3,7.29,24,20.69
